="2nd Stage | i=1 | X: DRobot_exp_all1995 | IV: SG_DRobot_exp_all1995 | Group: depvars_dif"

="",="(1)",="(2)"
="",="Turnout",="Conserv1_p"

="DRobot_exp_all1995",="-0.004",="0.011"
="",="(0.006)",="(0.019)"

="N",="904.000",="904.000"
="R2 within",="",=""
="1st-stage F",="7.847",="7.847"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
="2nd Stage | i=1 | X: DRobot_exp_all1995 | IV: SG_DRobot_exp_all1995 | Group: depvars_longdif"

="",="(1)",="(2)"
="",="Turnout",="Conserv1_p"

="DRobot_exp_all1995",="-0.023***",="0.029"
="",="(0.009)",="(0.018)"

="N",="904.000",="904.000"
="R2 within",="",=""
="1st-stage F",="7.847",="7.847"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
="2nd Stage | i=2 | X: DRobot_exp_all1995 | IV: Z_DRobot_exp_all1995 | Group: depvars"

="",="(1)",="(2)"
="",="Turnout",="Conserv1_p"

="DRobot_exp_all1995",="0.002",="0.008"
="",="(0.003)",="(0.007)"

="N",="904.000",="904.000"
="R2 within",="",=""
="1st-stage F",="7.292",="7.292"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
="2nd Stage | i=2 | X: DRobot_exp_all1995 | IV: Z_DRobot_exp_all1995 | Group: depvars_dif"

="",="(1)",="(2)"
="",="Turnout",="Conserv1_p"

="DRobot_exp_all1995",="0.012***",="-0.003"
="",="(0.003)",="(0.006)"

="N",="904.000",="904.000"
="R2 within",="",=""
="1st-stage F",="7.292",="7.292"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
="2nd Stage | i=2 | X: DRobot_exp_all1995 | IV: Z_DRobot_exp_all1995 | Group: depvars_longdif"

="",="(1)",="(2)"
="",="Turnout",="Conserv1_p"

="DRobot_exp_all1995",="0.002",="0.008"
="",="(0.003)",="(0.007)"

="N",="904.000",="904.000"
="R2 within",="",=""
="1st-stage F",="7.292",="7.292"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
="2nd Stage | i=3 | X: DRobot_exp_u_all1995 | IV: SG_DRobot_exp_u_all1995 | Group: depvars"

="",="(1)",="(2)"
="",="Turnout",="Conserv1_p"

="DRobot_exp_u_all1995",="-0.050*",="0.062"
="",="(0.028)",="(0.047)"

="N",="904.000",="904.000"
="R2 within",="",=""
="1st-stage F",="3.401",="3.401"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
="2nd Stage | i=3 | X: DRobot_exp_u_all1995 | IV: SG_DRobot_exp_u_all1995 | Group: depvars_dif"

="",="(1)",="(2)"
="",="Turnout",="Conserv1_p"

="DRobot_exp_u_all1995",="-0.010",="0.025"
="",="(0.015)",="(0.048)"

="N",="904.000",="904.000"
="R2 within",="",=""
="1st-stage F",="3.401",="3.401"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
="2nd Stage | i=3 | X: DRobot_exp_u_all1995 | IV: SG_DRobot_exp_u_all1995 | Group: depvars_longdif"

="",="(1)",="(2)"
="",="Turnout",="Conserv1_p"

="DRobot_exp_u_all1995",="-0.050*",="0.062"
="",="(0.028)",="(0.047)"

="N",="904.000",="904.000"
="R2 within",="",=""
="1st-stage F",="3.401",="3.401"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
="2nd Stage | i=4 | X: DRobot_exp_u_all1995 | IV: Z_DRobot_exp_u_all1995 | Group: depvars"

="",="(1)",="(2)"
="",="Turnout",="Conserv1_p"

="DRobot_exp_u_all1995",="0.003",="0.007"
="",="(0.002)",="(0.007)"

="N",="904.000",="904.000"
="R2 within",="",=""
="1st-stage F",="7.269",="7.269"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
="2nd Stage | i=4 | X: DRobot_exp_u_all1995 | IV: Z_DRobot_exp_u_all1995 | Group: depvars_dif"

="",="(1)",="(2)"
="",="Turnout",="Conserv1_p"

="DRobot_exp_u_all1995",="0.012***",="-0.004"
="",="(0.003)",="(0.005)"

="N",="904.000",="904.000"
="R2 within",="",=""
="1st-stage F",="7.269",="7.269"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
="2nd Stage | i=4 | X: DRobot_exp_u_all1995 | IV: Z_DRobot_exp_u_all1995 | Group: depvars_longdif"

="",="(1)",="(2)"
="",="Turnout",="Conserv1_p"

="DRobot_exp_u_all1995",="0.003",="0.007"
="",="(0.002)",="(0.007)"

="N",="904.000",="904.000"
="R2 within",="",=""
="1st-stage F",="7.269",="7.269"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
