="",="Robustness_additional",="",="",=""
="",="(1)",="(2)",="(3)",="(4)"
="",="(1)",="(2)",="(3)",="(4)"
="Bartik X SD (empbase=2005)",="-0.016**",="0.024**",="-0.016***",="0.022*"
="",="(0.006)",="(0.012)",="(0.006)",="(0.012)"
="year==2002",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="year==2007",="0.028",="0.079",="0.029",="0.096*"
="",="(0.034)",="(0.067)",="(0.026)",="(0.058)"
="year==2012",="0.013",="-0.173***",="0.011",="-0.172***"
="",="(0.013)",="(0.025)",="(0.015)",="(0.024)"
="year==2017",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="year==2022",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="share of population aged 65 and above",="-0.165",="1.077",="-0.156",="1.130*"
="",="(0.377)",="(0.748)",="(0.324)",="(0.686)"
="share of college-educated",="-0.658***",="3.209***",="-0.667***",="2.917***"
="",="(0.178)",="(0.372)",="(0.203)",="(0.432)"
="Foreign resident share (immi0/pop)",="0.594***",="-0.754*",="0.592***",="-0.852**"
="",="(0.218)",="(0.450)",="(0.210)",="(0.414)"
="manu_share",="0.045",="-0.326*",="0.047",="-0.311**"
="",="(0.083)",="(0.168)",="(0.079)",="(0.157)"
="Pretrend SD_turnout for SD (prev cohort SD)",="",="",="0.017",=""
="",="",="",="(0.139)",=""
="Pretrend SD_conserv1_p for SD (prev cohort SD)",="",="",="",="-0.140"
="",="",="",="",="(0.106)"
="N",="678",="678",="678",="678"
="r2",="-0.061",="0.364",="-0.054",="0.441"
="cdf",="7.547",="7.547",="8.997",="6.377"
="widstat",="8.617",="8.617",="9.543",="7.473"
="arf",="37.407",="13.888",="44.138",="12.007"
="arfp",="0.000",="0.000",="0.000",="0.001"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
